Time (s),X (mm)
3.076,228.5749
3.085,229.1972
3.093,229.1972
3.101,229.5084
3.11,230.4419
3.118,230.753
3.126,231.0642
3.135,231.0642
3.143,231.9977
3.152,231.9977
3.16,232.3088
3.168,232.9312
3.177,233.2423
3.185,233.2423
3.193,233.5535
3.202,233.8646
3.21,234.1758
3.218,234.1758
3.227,234.7981
3.235,234.7981
3.243,234.7981
3.252,234.1758
3.26,233.8646
3.268,233.5535
3.277,233.2423
3.285,232.62
3.293,232.62
3.302,231.9977
3.31,231.9977
3.318,231.3753
3.327,230.753
3.335,230.1307
3.343,229.8195
3.352,229.5084
3.36,228.8861
3.368,228.2637
3.377,227.9526
3.385,227.3302
3.393,227.0191
3.402,226.7079
3.41,226.0856
3.418,225.7744
3.427,225.1521
3.435,224.5298
3.443,224.2186
3.452,223.5963
3.46,222.974
3.468,222.0405
3.477,221.4182
3.485,220.7959
3.493,220.1735
3.502,219.8624
3.51,219.24
3.518,218.9289
3.527,218.3066
3.535,217.6842
3.543,217.3731
3.552,216.7508
3.56,215.8173
3.568,215.5061
3.577,214.8838
3.585,214.2615
3.593,213.328
3.602,212.3945
3.61,211.7722
3.618,210.8387
3.627,210.8387
3.635,210.8387
3.643,210.5275
3.652,210.2164
3.66,209.2829
3.668,208.6606
3.677,208.0382
3.685,207.4159
3.693,207.1047
3.702,206.4824
3.71,206.4824
3.718,205.5489
3.727,205.5489
3.735,204.9266
3.743,204.3043
3.752,203.9931
3.76,203.9931
3.768,203.682
3.777,203.3708
3.785,203.0596
3.793,202.4373
3.802,201.815
3.81,201.815
3.818,201.5038
3.827,201.5038
3.835,201.5038
3.843,201.1927
3.852,201.1927
3.86,200.8815
3.868,200.5704
3.877,200.5704
3.885,200.2592
3.893,200.5704
3.902,201.1927
3.91,201.1927
3.918,201.5038
3.927,201.5038
3.935,202.1262
3.943,202.1262
3.952,202.4373
3.96,202.4373
3.968,202.7485
3.977,203.3708
3.985,203.3708
3.993,203.682
4.002,203.9931
4.01,204.3043
4.018,204.6155
4.027,204.9266
4.035,205.5489
4.043,205.8601
4.052,206.1713
4.06,206.1713
4.069,206.4824
4.077,206.7936
4.085,207.1047
4.094,207.4159
4.102,207.7271
4.11,208.0382
4.119,208.9717
4.127,209.2829
4.135,209.9052
4.144,210.8387
4.152,211.1498
4.16,211.1498
4.169,211.461
4.177,211.461
4.185,211.7722
4.194,212.3945
4.202,212.7057
4.21,213.0168
4.219,213.6391
4.227,214.2615
4.235,215.1949
4.244,215.5061
4.252,216.1284
4.26,216.4396
4.269,216.7508
4.277,217.6842
4.285,218.6177
4.294,218.6177
4.302,218.9289
4.31,219.5512
4.319,220.4847
4.327,221.107
4.335,221.7293
4.344,222.0405
4.352,222.6628
4.36,222.6628
4.369,222.6628
4.377,222.974
4.385,222.974
4.394,223.2851
4.402,223.5963
4.41,223.9075
4.419,224.2186
4.427,224.2186
4.435,224.5298
4.444,224.5298
4.452,224.5298
4.46,225.1521
4.469,225.4633
4.477,225.7744
4.485,226.3968
4.494,226.3968
4.502,226.7079
4.51,226.7079
4.519,227.3302
4.527,227.0191
4.535,227.3302
4.544,227.9526
4.552,227.9526
4.56,228.2637
4.569,228.2637
4.577,228.2637
4.585,227.6414
4.594,227.6414
4.602,227.3302
4.61,227.0191
4.619,227.0191
4.627,226.7079
4.635,226.7079
4.644,226.3968
4.652,226.0856
4.66,225.7744
4.669,225.7744
4.677,225.1521
4.685,224.841
4.694,224.5298
4.702,224.5298
4.71,224.2186
4.719,223.9075
4.727,223.5963
4.735,223.2851
4.744,223.2851
4.752,222.974
4.76,222.6628
4.769,222.0405
4.777,222.0405
4.785,221.4182
4.794,221.107
4.802,220.4847
4.81,219.8624
4.819,219.5512
4.827,219.5512
4.835,219.24
4.844,218.3066
4.852,218.3066
4.86,217.9954
4.869,217.3731
4.877,217.3731
4.885,216.7508
4.894,216.7508
4.902,216.4396
4.91,216.4396
4.919,215.8173
4.927,215.5061
4.935,215.1949
4.944,214.2615
4.953,213.9503
4.961,213.0168
4.969,213.0168
4.978,212.7057
4.986,212.0833
4.994,211.7722
5.003,211.7722
5.011,211.461
5.019,210.8387
5.028,210.5275
5.036,209.9052
5.044,208.9717
5.053,208.0382
5.061,208.0382
5.069,208.0382
5.078,207.7271
5.086,207.7271
5.094,207.4159
5.103,206.7936
5.111,206.4824
5.119,206.1713
5.128,205.8601
5.136,205.5489
5.144,205.5489
5.153,205.5489
5.161,205.2378
5.169,205.2378
5.178,204.9266
5.186,204.6155
5.194,204.6155
5.203,204.6155
5.211,204.6155
5.219,204.9266
5.228,204.9266
5.236,205.5489
5.244,205.8601
5.253,206.1713
5.261,206.1713
5.269,206.1713
5.278,206.1713
5.286,206.7936
5.294,206.7936
5.303,206.7936
5.311,207.1047
5.319,207.1047
5.328,207.1047
5.336,207.1047
5.344,207.7271
5.353,207.7271
5.361,207.7271
5.369,208.0382
5.378,208.0382
5.386,208.3494
5.394,208.6606
5.403,208.6606
5.411,208.9717
5.419,209.2829
5.428,209.2829
5.436,209.2829
5.444,209.594
5.453,209.9052
5.461,209.9052
5.469,210.2164
5.478,210.2164
5.486,211.1498
5.494,211.1498
5.503,211.461
5.511,211.7722
5.519,211.7722
5.528,212.0833
5.536,212.7057
5.544,212.7057
5.553,213.0168
5.561,213.0168
5.569,213.328
5.578,213.9503
5.586,214.2615
5.594,214.5726
5.603,214.8838
5.611,215.1949
5.619,215.5061
5.628,215.5061
5.636,215.5061
5.644,216.1284
5.653,216.1284
5.661,216.4396
5.669,217.0619
5.678,217.3731
5.686,217.6842
5.694,217.6842
5.703,217.9954
5.711,218.3066
5.719,218.6177
5.728,219.24
5.736,219.24
5.744,219.5512
5.753,219.5512
5.761,220.1735
5.769,220.4847
5.778,220.4847
5.786,220.7959
5.794,221.107
5.803,221.4182
5.811,221.4182
5.819,221.4182
5.828,221.4182
5.836,221.7293
5.844,222.6628
5.853,222.974
5.861,222.974
5.87,222.974
5.878,223.2851
5.886,223.2851
5.895,223.2851
5.903,223.2851
5.911,222.974
5.92,222.974
5.928,222.974
5.936,222.6628
5.945,222.6628
5.953,222.3517
5.961,222.3517
5.97,222.3517
5.978,222.3517
5.986,222.3517
5.995,222.3517
6.003,222.3517
6.011,222.0405
6.02,222.0405
6.028,221.7293
6.036,221.4182
6.045,221.4182
6.053,221.4182
6.061,221.4182
6.07,221.107
6.078,221.107
6.086,220.7959
6.095,220.7959
6.103,220.4847
6.111,220.1735
6.12,219.8624
6.128,219.5512
6.136,219.24
6.145,219.24
6.153,218.9289
6.161,218.6177
6.17,218.6177
6.178,218.3066
6.186,218.3066
6.195,217.9954
6.203,217.6842
6.211,217.3731
6.22,217.0619
6.228,217.0619
6.236,217.0619
6.245,217.0619
6.253,216.7508
6.261,216.4396
6.27,215.8173
6.278,215.5061
6.286,215.5061
6.295,214.8838
6.303,214.8838
6.311,214.5726
6.32,214.2615
6.328,213.9503
6.336,213.328
6.345,213.0168
6.353,212.7057
6.361,212.0833
6.37,211.7722
6.378,211.7722
6.386,211.461
6.395,211.1498
6.403,210.5275
6.411,210.5275
6.42,210.5275
6.428,210.2164
6.436,209.594
6.445,209.594
6.453,209.594
6.461,209.594
6.47,209.2829
6.478,209.2829
6.486,209.2829
6.495,209.2829
6.503,209.2829
6.511,209.2829
6.52,209.2829
6.528,208.9717
6.536,208.9717
6.545,208.9717
6.553,208.9717
6.561,208.9717
6.57,208.9717
6.578,208.9717
6.586,209.2829
6.595,209.2829
6.603,209.2829
6.611,209.2829
6.62,209.2829
6.628,209.2829
6.636,209.2829
6.645,209.2829
6.653,209.2829
6.661,209.594
6.67,209.9052
6.678,209.9052
6.686,209.9052
6.695,210.2164
6.703,210.2164
6.711,210.2164
6.72,210.2164
6.728,210.2164
6.736,210.5275
6.745,210.5275
6.753,210.8387
6.761,211.461
6.77,211.461
